run,phase,preset,probe,mask,seed_key,passes,width,height,warmup_passes,measured_passes,native_render_seconds,ms_per_pass,estimated_total_render_ms,launch_seconds_diagnostic_only,display_gpu,binary_sha256,config_sha256,film_sha256
composite80-spins-s1,measurement,80,-1,896,1000003,1024,160,100,8,1016,1.0082700000000002,0.9923917322834648,1016.2091338582679,1.54826929999399,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,b6bb56f68c2b29af68ad56840156f38358557e2ec28bb9ffd877157a9c11b45f,cce79041dc8dd272d69d214f7ec1802ca28da4c644ba3c30295d3c04d8eab97e
composite80-spins-s2,measurement,80,-1,896,2000006,1024,160,100,8,1016,0.9714469999999998,0.9561486220472439,979.0961889763778,1.470104199994239,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4b282388754d44d801b4e844ab76aed961382e3475950b1a2ef541eacdf94bca,f2bbab7426fbc31e635c3e814ddd821439b4fe968c0754535d62cb5bfe905d07
composite80-spins-s3,measurement,80,-1,896,3000009,1024,160,100,8,1016,1.1493429000000006,1.1312430118110242,1158.3928440944887,1.6516509000066435,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,c76cac5c4a552555f833bfce9f16a95fc8f10fef7b1fb916c07f56c67e2e66f6,b47da53a48956584ffcc6f9d5391624f789bb191c65ef91c72159956572348cb
composite80-spins-s4,measurement,80,-1,896,4000012,1024,160,100,8,1016,0.9843311000000002,0.9688298228346459,992.0817385826774,1.4657326000015019,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,252c5e06eeb74215bcb91e568b2ca43aaf4e53a58a36273cc1b28d40bd91dda2,c95009d0b1559b69970368d8182a3eb02d4011419a1bd2131436546cbc9e1449
composite80-spins-s5,measurement,80,-1,896,5000015,1024,160,100,8,1016,0.9415596999999997,0.9267319881889761,948.9735559055115,1.4638159000023734,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,ab6c6bfb2bc502774d5152cf3f9c03eb8e4126edec7b695ce82d86882270e4a4,29046a6a5e6f23593714a58dbe8ef058019eb3d270e6f5ab575158e80fb904cd
composite80-uv-s0,measurement,80,-1,8,0,1024,160,100,8,1016,0.6243251000000005,0.6144932086614178,629.2410456692918,1.1332605000061449,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,b2f9ea817e2c91fa73c92d9a17d5f7f6ef5a242a6b2ce4e42757c036ee3d9130,c8e0aec5171c8d129ca553f79a28a2e7ae8e40f63854d3c0bf44ecf940e325b7
composite80-uv-s1,measurement,80,-1,8,1000003,1024,160,100,8,1016,0.6093212999999994,0.5997256889763773,614.1191055118104,1.0996314999938477,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,c4cb09dd850a1f506cd1d0c966c7e24908c623c3aff47e6fd4eaef029d30793b,0cd2736e31517b7fded303640ae746d06cab6e0b5a23f270ca82b98eabfdeef2
composite80-uv-s2,measurement,80,-1,8,2000006,1024,160,100,8,1016,0.5703427999999999,0.5613610236220471,574.8336881889762,1.0528322000027401,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,eea3e73b895f38d6ebfe1f5fba18a413ba914bb70789cf40e00c376363c5e78f,15ae42c2559304ec77bd942a0c0a199aef3496e554fe8cf0197c590784674a3c
composite80-uv-s3,measurement,80,-1,8,3000009,1024,160,100,8,1016,0.6039110999999997,0.5944006889763777,608.6663055118107,1.114076900004875,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,5d0207cf73d6b76ed5b7637a49a9c41968eb918d43028ebcfb356ed7e89208d7,159dbb7c6a440ef257de1310510cabc07ac89f4f7563f0e3371b70c03bc88e6c
composite80-uv-s4,measurement,80,-1,8,4000012,1024,160,100,8,1016,0.6091381,0.599545374015748,613.934462992126,1.104218899999978,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,21f78e94e1447141097df46eadc0902dc54342661c4b9d0ddd54d0d449e16d02,cef969bbf56414ebdc22820249b4b5a6f8d51dfb003d4980838c7a6fdd7667d5
composite80-uv-s5,measurement,80,-1,8,5000015,1024,160,100,8,1016,0.6298768000000016,0.6199574803149622,634.8364598425213,1.1558436000050278,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,202d7ecd34be8ee56d6b381b19c068a77788223a3cd3130a17a4937b73d025d5,3d1d9e803d430fe54d87e35e9cae72aabc8c111f11f168d169cf2b5253451726
composite80-uv-sphere-s0,measurement,80,-1,136,0,1024,160,100,8,1016,0.8781212000000007,0.8642925196850401,885.035540157481,1.4268082000053255,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,f1c9e2022150673106d03464eb989dcce5c1d74ad171b743e068a62c4bc26fd8,127e3b8304cacb004b7580cf2cd563829ab9f968eb624937fd6661f2d1238c49
composite80-uv-sphere-s1,measurement,80,-1,136,1000003,1024,160,100,8,1016,0.8658207999999991,0.8521858267716527,872.6382866141723,1.3879316999955336,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,2284eaf0e2922736d7c15ffce31429dc53769c96a3196e9ba487c47478bb1719,03255814192bf2a701ef7c845885bd51f54eefa4cfca66d9ea06de66b6ee7dc9
composite80-uv-sphere-s2,measurement,80,-1,136,2000006,1024,160,100,8,1016,0.9062262999999998,0.8919550196850392,913.3619401574801,1.4438768000109121,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,40904a2f0cc05269d987b173a79b6947385c5a50acd9dcce94568736b0e0d893,ab78c91720bdce630d05cffa5ac5f66df337817e1fa156607cb576feb2e471bf
composite80-uv-sphere-s3,measurement,80,-1,136,3000009,1024,160,100,8,1016,0.8836801000000005,0.8697638779527563,890.6382110236225,1.3863770000025397,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,d15a4a864135b7592c2545f1cea4c9b883f7232373f34752729f0d3a029eeccd,051869b551fb0edbbae148299929bb3e157407e89c554449099c6a42caeafa60
composite80-uv-sphere-s4,measurement,80,-1,136,4000012,1024,160,100,8,1016,0.9247783000000002,0.9102148622047246,932.060018897638,1.4393905000033556,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,f5cefafb05f702e6e6ef770e47c2d83a06d958e5356777fb34fa2a61648dd78a,785f8939a60a2d5f9bdbfd49c0880cea5c216a1e6f8a57fe0085669657b82b0a
composite80-uv-sphere-s5,measurement,80,-1,136,5000015,1024,160,100,8,1016,0.8096660000000007,0.7969153543307093,816.0413228346463,1.287721300002886,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,0d68e4b2b7916f1105db70acb3835aa819110f8f98acafaad5b637a6290028ac,7042f48718351b15ec06274a30022c186c7274b1333b315a74a7d534c8a20eca
composite81-six-s0,measurement,81,-1,3976,0,1024,160,100,8,1016,2.222133399999999,2.187139173228345,2239.6305133858255,2.7456069000036223,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,a06e256e5c7a030518fe543b06411b10f7ec71ba050765ac8a053def7dfadc91,583998040d860e1fc8d56498991bc36b6d4fd0b13f8fef9ad8e4b0ee49e6c75a
composite81-six-s1,measurement,81,-1,3976,1000003,1024,160,100,8,1016,2.199172999999998,2.1645403543307067,2216.4893228346436,2.7158314999978757,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4763ec0f1d92a3334c2027fa6ade4aec23c6b69b5844c8738c38a06487ed43f9,0470421f79442aff3d2236236aa0ece22796285d1e7592335df5d256953db854
composite81-six-s2,measurement,81,-1,3976,2000006,1024,160,100,8,1016,2.003334600000003,1.9717860236220504,2019.1088881889796,2.5374585000099614,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,889afa0cddd185900a1e6b72c3ec9617bc3d26fe9dc2d6ed0643dbf94518665d,962e764e87bc77ce7effdc91b9fb42b48ec92b226451e5e31ec9cb64fb514c48
composite81-six-s3,measurement,81,-1,3976,3000009,1024,160,100,8,1016,1.987883999999999,1.9565787401574795,2003.536629921259,2.4840388000011444,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,c14aa3212531b474e4a92e4d7da7035e7656519d47f5c65570cd23839ac23318,8d89fc0fea9b0a6fa3ad1de1850aff4751fa58c2c6cd84e53bfb1ac08d33c89a
composite81-six-s4,measurement,81,-1,3976,4000012,1024,160,100,8,1016,2.0062182000000006,1.974624212598426,2022.0151937007881,2.5314644999889424,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,af9877b5a110ad079870e0399e5235e48d751ce3de1d421b3a8302be848d96c0,eda8de39bbd67146eca2dedb119081778c29b9427f583ec6f3298721ff866436
composite81-six-s5,measurement,81,-1,3976,5000015,1024,160,100,8,1016,1.9990031999999982,1.9675228346456677,2014.7433826771637,2.576874799997313,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,da11e216c72ce90676b87cbc7e1d89431185ab20d5dede3986a338aae55970a1,c1463e81f7d631b192517e9a192528b2a029b7cd52ca322914a1543442ef5448
composite81-spins-s0,measurement,81,-1,896,0,1024,160,100,8,1016,1.0279175,1.0117298228346456,1036.0113385826771,1.5370102999877417,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,156015622950490dd41ef4b8b4d5dad6b7b6acb2c5943109c90e0c2bbe0e28e2,3f90629cf6ba905567da486fe9908cc3fe4d233339d85ae9ce8a36b0c04292f4
composite81-spins-s1,measurement,81,-1,896,1000003,1024,160,100,8,1016,1.0400209999999999,1.023642716535433,1048.2101417322833,1.541178100000252,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,7ab91cdb9eba31ae054f28491927d5bd9a4cced0a76ee2ad4a93dad99dd2a096,7fb68b1f98fcc7131e4fbb1e334e1c30be0b0f61498a6fb9d3a0383c65700b8d
composite81-spins-s2,measurement,81,-1,896,2000006,1024,160,100,8,1016,1.0203867000000006,1.004317618110237,1028.4212409448826,1.530929800006561,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,2800aa84494416070fdb3580184626ff0cae1ea8aa5cc972b518027996dea2c9,6a0cffebfa69ee8e34cb531d97b0791a4bf07942cc6c1b03f354cf7294d4ae62
composite81-spins-s3,measurement,81,-1,896,3000009,1024,160,100,8,1016,0.9523862000000003,0.9373879921259846,959.8853039370082,1.454878299991833,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,24858e899e3687129c5f580803d4361e7d4de2f3462e328f45ece35a638c650a,af5fc239637ea89fb4e7417cf77b35509eebe1fd5c606050719da41a137ca0f1
composite81-spins-s4,measurement,81,-1,896,4000012,1024,160,100,8,1016,0.941321499999999,0.9264975393700777,948.7334803149596,1.4149191999895265,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,055519767c8fa91b963cb03e9b68226a654bcc89c2f638df61877a87648f0746,95b818b0ea4d39785a2bfe0bd25ce77d9b72883f9e2a1704160f2b47f0904cb9
composite81-spins-s5,measurement,81,-1,896,5000015,1024,160,100,8,1016,0.9769939000000002,0.9616081692913387,984.6867653543309,1.5013306999899214,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,c15e78884e9a0d8b6a19110c54dba5f7fa902c67b47637eb98e3d6e521f07ef7,7c8338914fde135af756509e95da320c7653c98f14a0207ae42a1482c87d88ae
composite81-uv-s0,measurement,81,-1,8,0,1024,160,100,8,1016,0.5902436999999993,0.5809485236220465,594.8912881889756,1.0821867999911774,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,ecaff6fbe34262a77bbb60539e68a27ab62f3d43f0ba16a78987c3c301c9edc5,b74b2fbfa9479ec73d7f8ec2f4eb5f8ff8921adaad09babfacec5cc2dd66939a
composite81-uv-s1,measurement,81,-1,8,1000003,1024,160,100,8,1016,0.5860837000000008,0.5768540354330717,590.6985322834654,1.0993297999957576,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,693892fe411f33a858602df8414e5259c184a3ae84b141dab3db26f0b16cfbf6,c009bacea9497a9a81631b7d92ec79633602d549b3530d3a9dee9ec3baca1865
composite81-uv-s2,measurement,81,-1,8,2000006,1024,160,100,8,1016,0.5868976,0.5776551181102362,591.5188409448818,1.0822354999982053,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,ecce4112bd9ca1ffb73189bae0451936525d03cd721bf42a7ec1a1e1d61cb93f,74d53a8eea5bdc3bf9f933ea30fe55985eb44b5a2120ec4657659e95a477acdf
composite81-uv-s3,measurement,81,-1,8,3000009,1024,160,100,8,1016,0.565326,0.5564232283464567,569.7773858267717,1.0703155000082916,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,ac04ad8910d904a91351101d4fbdf4cd5da032ce3e7159dd8b956223ec0c797c,c847469a6fce5fcc5d5c2ce076c23be592d4c11fe0a94bf43260b248d0c3444a
composite81-uv-s4,measurement,81,-1,8,4000012,1024,160,100,8,1016,0.6027180000000002,0.5932263779527561,607.4638110236223,1.103747299988754,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,be2c7dc3d447d0fce090930116652e2b52972fd671504667867cfeb59d0d41bc,3235ff01f0999b8d69f28cac6ca0e8d0cb856ef819563832b693589f817642f1
composite81-uv-s5,measurement,81,-1,8,5000015,1024,160,100,8,1016,0.5347670999999997,0.5263455708661414,538.9778645669288,1.037511499991524,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4a37472a5511491c31067e540cae33c3f6a9a0c9a411f9764c384f314a9850c6,40e2e20ea36c4a0aebe37333b6da4c4925238971aef7a1180e961cade59b3548
composite81-uv-sphere-s0,measurement,81,-1,136,0,1024,160,100,8,1016,0.8790406999999997,0.8651975393700784,885.9622803149603,1.3834910000005038,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4832424268b4f44e711957df7ffb3080faf25bcae534349a8d171fa375868fac,0ed7941ae4efcb911f73b3871af575ce8297dd08f6e35b30ace0aa34175238fb
composite81-uv-sphere-s1,measurement,81,-1,136,1000003,1024,160,100,8,1016,0.8868703000000011,0.8729038385826782,893.8535307086624,1.3925977000035346,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,fdc64c7ea2c2adff804a8b44abfa8e78097684b9de9db0f22be15d835f17a44b,938c65a874a97387ac3489d7bd857599677ddd09b7d6d65e62154e7a64e45ba1
composite81-uv-sphere-s2,measurement,81,-1,136,2000006,1024,160,100,8,1016,0.8158739999999991,0.8030255905511803,822.2982047244086,1.3184525999968173,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,57eaecc7f784974938486cccd21dd6b83956f0d2b8db7fba9fa5960a380d294e,d6153ab30157662b1079fd3bc20ec93d51fd1eb902d3e87bf30514d4eb5ebbb3
composite81-uv-sphere-s3,measurement,81,-1,136,3000009,1024,160,100,8,1016,0.8083800999999999,0.7956497047244094,814.7452976377953,1.2985618999955477,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,abc7c27dd44ab6be96c6632ec62f4a48af2f549615e9ef3f1bb206a0b935aa18,09a6bfa126ceb3636a22e64d7c138ec444b247fc1f3bf0adbe9dd9ee17946b67
composite81-uv-sphere-s4,measurement,81,-1,136,4000012,1024,160,100,8,1016,0.8796265999999996,0.8657742125984248,886.552793700787,1.4066006999928504,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,1a5a6f433b8d247ea757ebdbdcb9945febc24e8bd79c7faa20fbac943322b67b,9808544a7e9e381781aaaa8145a48a5ab98f8cfd1fd85968c9c898b2da4d95af
composite81-uv-sphere-s5,measurement,81,-1,136,5000015,1024,160,100,8,1016,0.8372321000000001,0.8240473425196853,843.8244787401577,1.375482200004626,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,a489be9b1c42f486057cfb61efad4930077e40f758590abdf983423db05de3d3,66886900ef260dbea7ee9558d73b1b5fc8b719dabe78c6d08b8622e6d237325a
composite82-six-s0,measurement,82,-1,3976,0,1024,160,100,8,1016,3.2083510999999993,3.157825885826771,3233.6137070866134,4.013959699994302,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,d186c111c22cc7353d94426385f52440d0831f496b2400aee5d6d682e4fc4d9e,ebd0e7515628604b9fd75555cd3b6f54bc06ce80cbf1991cc3f7355038e5a7b0
composite82-six-s1,measurement,82,-1,3976,1000003,1024,160,100,8,1016,2.894336200000001,2.8487561023622057,2917.1262488188986,3.416303499994683,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,0b8e5c6a3502ec6251e738948621f57a234f6718e3a4ecd9468f7b4adcb44aa4,aebaed30757b19a623932e135e3546eb1f88ca61dfb12c11f11e3c4c3d18808f
composite82-six-s2,measurement,82,-1,3976,2000006,1024,160,100,8,1016,2.9007748999999996,2.8550934055118105,2923.615647244094,3.4273144000035245,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,35a6d0310bc6e426b189fc23c42d00dc2636e97cdc5ee8c67b1e44cb3cd32a26,cbec75c7881f0d97af06bc8ae6619132fb453c95fca9354273d0bb24e98b6fc0
composite82-six-s3,measurement,82,-1,3976,3000009,1024,160,100,8,1016,2.8512572000000014,2.806355511811025,2873.7080440944897,3.379966799999238,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,823f4a7a98a51ea782c8391ff4a924d6e301e5e3c681584d0ab4207fb86e10c4,5997a867ef19e7f679a6432eb3ed2519072fc2fe7e6d59b487ae09531175f19d
composite82-six-s4,measurement,82,-1,3976,4000012,1024,160,100,8,1016,2.9387501000000027,2.892470570866144,2961.8898645669315,3.501978100000997,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,b71b3ac26d1f4060a28b8143e08b762b606987ce00c4a4be9d125ef6ffba0cf1,5ff8bcf9d19fa95db116212028a10386558c70e737b9cd18b96b29645bea197a
composite82-six-s5,measurement,82,-1,3976,5000015,1024,160,100,8,1016,2.631818099999997,2.5903721456692885,2652.5410771653515,3.17007539999031,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,99ec1e750bc8a05e205d6f93effb5c2869dc13d8bfccad1324847f8cc8a4c765,abb8c9c591be7847515b5daa5a71c249da7a811a97edd08272930c1ac41ea749
composite82-spins-s0,measurement,82,-1,896,0,1024,160,100,8,1016,1.1257499999999994,1.1080216535433065,1134.6141732283459,1.602578200006974,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,dbac11b5d0f364892f00cb99df6507b3ac0ea7d3d765ecb74ace67d47736a8d6,13d3ae2c98e9b6d36c22499722f49226e2675b13578e86b8d4cdbb44f41eb102
composite82-spins-s1,measurement,82,-1,896,1000003,1024,160,100,8,1016,1.3143582,1.2936596456692915,1324.7074771653545,1.8104367000050843,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,e41d1965da658f0a177a4568be14b398eed23297b6bd716d663575e8c30755e2,0f9332b9c3df4d5686f843d4d5b479a3e1e9d5c560a14055caf1725ab76db896
